player,year,team,round
"Jolly, Darren",2012,collingwood,R8
"Jolly, Darren",2012,collingwood,R9
"Jolly, Darren",2012,collingwood,R11
"Jolly, Darren",2012,collingwood,R13
"Jolly, Darren",2012,collingwood,R14
"Jolly, Darren",2012,collingwood,R15
"Jolly, Darren",2012,collingwood,R16
"Jolly, Darren",2012,collingwood,R17
"Jolly, Darren",2012,collingwood,R19
"Jolly, Darren",2012,collingwood,R20
"Jolly, Darren",2012,collingwood,R21
"Jolly, Darren",2012,collingwood,R23
"Jolly, Darren",2012,collingwood,QF
"Jolly, Darren",2012,collingwood,SF
"Jolly, Darren",2012,collingwood,PF
"Keeffe, Lachlan",2012,collingwood,R1
"Keeffe, Lachlan",2012,collingwood,R2
"Keeffe, Lachlan",2012,collingwood,R3
"Keeffe, Lachlan",2012,collingwood,R4
"Keeffe, Lachlan",2012,collingwood,R5
"Keeffe, Lachlan",2012,collingwood,R6
"Keeffe, Lachlan",2012,collingwood,R7
"Keeffe, Lachlan",2012,collingwood,R8
"Keeffe, Lachlan",2012,collingwood,R9
"Krakouer, Andrew",2012,collingwood,R23
"Krakouer, Andrew",2012,collingwood,QF
"Krakouer, Andrew",2012,collingwood,SF
"Krakouer, Andrew",2012,collingwood,PF
"Lumumba, Heritier",2012,collingwood,R1
"Lumumba, Heritier",2012,collingwood,R2
"Lumumba, Heritier",2012,collingwood,R3
"Lumumba, Heritier",2012,collingwood,R4
"Lumumba, Heritier",2012,collingwood,R5
"Lumumba, Heritier",2012,collingwood,R6
"Lumumba, Heritier",2012,collingwood,R7
"Lumumba, Heritier",2012,collingwood,R8
"Lumumba, Heritier",2012,collingwood,R9
"Lumumba, Heritier",2012,collingwood,R10
"Lumumba, Heritier",2012,collingwood,R11
"Lumumba, Heritier",2012,collingwood,R13
"Lumumba, Heritier",2012,collingwood,R14
"Lumumba, Heritier",2012,collingwood,R15
"Lumumba, Heritier",2012,collingwood,R16
"Lumumba, Heritier",2012,collingwood,R17
"Lumumba, Heritier",2012,collingwood,R19
"Lumumba, Heritier",2012,collingwood,R20
"Lumumba, Heritier",2012,collingwood,R21
"Lumumba, Heritier",2012,collingwood,R22
"Lumumba, Heritier",2012,collingwood,R23
"Lumumba, Heritier",2012,collingwood,QF
"Lumumba, Heritier",2012,collingwood,SF
"Lumumba, Heritier",2012,collingwood,PF
"Maxwell, Nick",2012,collingwood,R3
"Maxwell, Nick",2012,collingwood,R4
"Maxwell, Nick",2012,collingwood,R5
"Maxwell, Nick",2012,collingwood,R6
"Maxwell, Nick",2012,collingwood,R7
"Maxwell, Nick",2012,collingwood,R8
"Maxwell, Nick",2012,collingwood,R9
"Maxwell, Nick",2012,collingwood,R10
"Maxwell, Nick",2012,collingwood,R11
"Maxwell, Nick",2012,collingwood,R13
"Maxwell, Nick",2012,collingwood,R14
"Maxwell, Nick",2012,collingwood,R15
"Maxwell, Nick",2012,collingwood,R16
"Maxwell, Nick",2012,collingwood,R17
"Maxwell, Nick",2012,collingwood,R18
"Maxwell, Nick",2012,collingwood,R19
"Maxwell, Nick",2012,collingwood,R20
"Maxwell, Nick",2012,collingwood,R21
"Maxwell, Nick",2012,collingwood,R23
"Maxwell, Nick",2012,collingwood,QF
"Mooney, Caolan",2012,collingwood,R14
"Mooney, Caolan",2012,collingwood,R17
"Mooney, Caolan",2012,collingwood,R18
"Mooney, Caolan",2012,collingwood,R21
"Paine, Jackson",2012,collingwood,R1
"Paine, Jackson",2012,collingwood,R2
"Paine, Jackson",2012,collingwood,R4
"Paine, Jackson",2012,collingwood,R14
"Paine, Jackson",2012,collingwood,R15
"Paine, Jackson",2012,collingwood,R23
"Pendlebury, Scott",2012,collingwood,R1
"Pendlebury, Scott",2012,collingwood,R2
"Pendlebury, Scott",2012,collingwood,R3
"Pendlebury, Scott",2012,collingwood,R4
"Pendlebury, Scott",2012,collingwood,R5
"Pendlebury, Scott",2012,collingwood,R6
"Pendlebury, Scott",2012,collingwood,R7
"Pendlebury, Scott",2012,collingwood,R8
"Pendlebury, Scott",2012,collingwood,R9
"Pendlebury, Scott",2012,collingwood,R10
"Pendlebury, Scott",2012,collingwood,R16
"Pendlebury, Scott",2012,collingwood,R17
"Pendlebury, Scott",2012,collingwood,R18
"Pendlebury, Scott",2012,collingwood,R19
"Pendlebury, Scott",2012,collingwood,R20
"Pendlebury, Scott",2012,collingwood,R21
"Pendlebury, Scott",2012,collingwood,R22
"Pendlebury, Scott",2012,collingwood,R23
"Pendlebury, Scott",2012,collingwood,QF
"Pendlebury, Scott",2012,collingwood,SF
"Pendlebury, Scott",2012,collingwood,PF
"Reid, Ben",2012,collingwood,R1
"Reid, Ben",2012,collingwood,R2
"Reid, Ben",2012,collingwood,R3
"Reid, Ben",2012,collingwood,R6
"Reid, Ben",2012,collingwood,R7
"Reid, Ben",2012,collingwood,R8
"Reid, Ben",2012,collingwood,R13
"Reid, Ben",2012,collingwood,R14
"Reid, Ben",2012,collingwood,R15
"Reid, Ben",2012,collingwood,R16
"Reid, Ben",2012,collingwood,R17
"Reid, Ben",2012,collingwood,R18
"Reid, Ben",2012,collingwood,R19
"Reid, Ben",2012,collingwood,R20
"Reid, Ben",2012,collingwood,R21
"Reid, Ben",2012,collingwood,R22
"Reid, Ben",2012,collingwood,R23
"Reid, Ben",2012,collingwood,QF
"Reid, Ben",2012,collingwood,SF
"Reid, Ben",2012,collingwood,PF
"Rounds, Luke",2012,collingwood,R1
"Seedsman, Paul",2012,collingwood,R1
"Seedsman, Paul",2012,collingwood,R2
"Seedsman, Paul",2012,collingwood,R4
"Seedsman, Paul",2012,collingwood,R5
"Seedsman, Paul",2012,collingwood,R7
"Seedsman, Paul",2012,collingwood,R17
"Seedsman, Paul",2012,collingwood,R18
"Seedsman, Paul",2012,collingwood,R19
"Seedsman, Paul",2012,collingwood,R20
"Seedsman, Paul",2012,collingwood,R21
"Seedsman, Paul",2012,collingwood,R22
"Shaw, Heath",2012,collingwood,R1
"Shaw, Heath",2012,collingwood,R2
"Shaw, Heath",2012,collingwood,R3
"Shaw, Heath",2012,collingwood,R6
"Shaw, Heath",2012,collingwood,R7
"Shaw, Heath",2012,collingwood,R8
"Shaw, Heath",2012,collingwood,R9
"Shaw, Heath",2012,collingwood,R13
"Shaw, Heath",2012,collingwood,R14
"Shaw, Heath",2012,collingwood,R15
"Shaw, Heath",2012,collingwood,R16
"Shaw, Heath",2012,collingwood,R17
"Shaw, Heath",2012,collingwood,R18
"Shaw, Heath",2012,collingwood,R19
"Shaw, Heath",2012,collingwood,R20
"Shaw, Heath",2012,collingwood,R21
"Shaw, Heath",2012,collingwood,R22
"Shaw, Heath",2012,collingwood,R23
"Shaw, Heath",2012,collingwood,QF
"Shaw, Heath",2012,collingwood,SF
"Shaw, Heath",2012,collingwood,PF
"Sidebottom, Steele",2012,collingwood,R1
"Sidebottom, Steele",2012,collingwood,R2
"Sidebottom, Steele",2012,collingwood,R3
"Sidebottom, Steele",2012,collingwood,R4
"Sidebottom, Steele",2012,collingwood,R5
"Sidebottom, Steele",2012,collingwood,R6
"Sidebottom, Steele",2012,collingwood,R7
"Sidebottom, Steele",2012,collingwood,R8
"Sidebottom, Steele",2012,collingwood,R9
"Sidebottom, Steele",2012,collingwood,R10
"Sidebottom, Steele",2012,collingwood,R11
"Sidebottom, Steele",2012,collingwood,R13
"Sidebottom, Steele",2012,collingwood,R14
"Sidebottom, Steele",2012,collingwood,R15
"Sidebottom, Steele",2012,collingwood,R16
"Sidebottom, Steele",2012,collingwood,R17
"Sidebottom, Steele",2012,collingwood,R19
"Sidebottom, Steele",2012,collingwood,R20
"Sidebottom, Steele",2012,collingwood,R21
"Sidebottom, Steele",2012,collingwood,R22
"Sidebottom, Steele",2012,collingwood,R23
"Sidebottom, Steele",2012,collingwood,QF
"Sidebottom, Steele",2012,collingwood,SF
"Sidebottom, Steele",2012,collingwood,PF
"Sinclair, Ben",2012,collingwood,R1
"Sinclair, Ben",2012,collingwood,R2
"Sinclair, Ben",2012,collingwood,R3
"Sinclair, Ben",2012,collingwood,R4
"Sinclair, Ben",2012,collingwood,R5
"Sinclair, Ben",2012,collingwood,R6
"Sinclair, Ben",2012,collingwood,R7
"Sinclair, Ben",2012,collingwood,R8
"Sinclair, Ben",2012,collingwood,R9
"Sinclair, Ben",2012,collingwood,R10
"Sinclair, Ben",2012,collingwood,R11
"Sinclair, Ben",2012,collingwood,R15
"Sinclair, Ben",2012,collingwood,R16
"Sinclair, Ben",2012,collingwood,R18
"Sinclair, Ben",2012,collingwood,R19
"Sinclair, Ben",2012,collingwood,R20
"Sinclair, Ben",2012,collingwood,R21
"Sinclair, Ben",2012,collingwood,R22
"Sinclair, Ben",2012,collingwood,QF
"Sinclair, Ben",2012,collingwood,PF
"Swan, Dane",2012,collingwood,R1
"Swan, Dane",2012,collingwood,R2
"Swan, Dane",2012,collingwood,R3
"Swan, Dane",2012,collingwood,R4
"Swan, Dane",2012,collingwood,R5
"Swan, Dane",2012,collingwood,R6
"Swan, Dane",2012,collingwood,R7
"Swan, Dane",2012,collingwood,R8
"Swan, Dane",2012,collingwood,R11
"Swan, Dane",2012,collingwood,R13
"Swan, Dane",2012,collingwood,R14
"Swan, Dane",2012,collingwood,R15
"Swan, Dane",2012,collingwood,R16
"Swan, Dane",2012,collingwood,R17
"Swan, Dane",2012,collingwood,R18
"Swan, Dane",2012,collingwood,R19
"Swan, Dane",2012,collingwood,R22
"Swan, Dane",2012,collingwood,R23
"Swan, Dane",2012,collingwood,QF
"Swan, Dane",2012,collingwood,SF
"Swan, Dane",2012,collingwood,PF
"Tarrant, Chris",2012,collingwood,R2
"Tarrant, Chris",2012,collingwood,R11
"Tarrant, Chris",2012,collingwood,R16
"Tarrant, Chris",2012,collingwood,R17
"Tarrant, Chris",2012,collingwood,R18
"Tarrant, Chris",2012,collingwood,R20
"Tarrant, Chris",2012,collingwood,R21
"Tarrant, Chris",2012,collingwood,R22
"Tarrant, Chris",2012,collingwood,R23
"Tarrant, Chris",2012,collingwood,QF
"Tarrant, Chris",2012,collingwood,SF
"Tarrant, Chris",2012,collingwood,PF
"Thomas, Dale",2012,collingwood,R1
"Thomas, Dale",2012,collingwood,R2
"Thomas, Dale",2012,collingwood,R3
"Thomas, Dale",2012,collingwood,R8
"Thomas, Dale",2012,collingwood,R9
"Thomas, Dale",2012,collingwood,R10
"Thomas, Dale",2012,collingwood,R11
"Thomas, Dale",2012,collingwood,R13
"Thomas, Dale",2012,collingwood,R14
"Thomas, Dale",2012,collingwood,R15
"Thomas, Dale",2012,collingwood,R16
"Thomas, Dale",2012,collingwood,R17
"Thomas, Dale",2012,collingwood,R19
"Thomas, Dale",2012,collingwood,R20
"Thomas, Dale",2012,collingwood,R21
"Thomas, Dale",2012,collingwood,R22
"Thomas, Dale",2012,collingwood,R23
"Thomas, Dale",2012,collingwood,QF
"Thomas, Dale",2012,collingwood,SF
"Thomas, Dale",2012,collingwood,PF
"Toovey, Alan",2012,collingwood,R1
"Toovey, Alan",2012,collingwood,R2
"Toovey, Alan",2012,collingwood,R3
"Toovey, Alan",2012,collingwood,R4
"Toovey, Alan",2012,collingwood,R5
"Toovey, Alan",2012,collingwood,R6
"Toovey, Alan",2012,collingwood,R7
"Toovey, Alan",2012,collingwood,R8
"Toovey, Alan",2012,collingwood,R9
"Toovey, Alan",2012,collingwood,R13
"Toovey, Alan",2012,collingwood,R14
"Toovey, Alan",2012,collingwood,R15
"Toovey, Alan",2012,collingwood,R16
"Toovey, Alan",2012,collingwood,R17
"Toovey, Alan",2012,collingwood,R18
"Toovey, Alan",2012,collingwood,R19
"Toovey, Alan",2012,collingwood,R20
"Toovey, Alan",2012,collingwood,R22
"Toovey, Alan",2012,collingwood,R23
"Toovey, Alan",2012,collingwood,QF
"Toovey, Alan",2012,collingwood,SF
"Toovey, Alan",2012,collingwood,PF
"Ugle, Kirk",2012,collingwood,R5
"Ugle, Kirk",2012,collingwood,R6
"Ugle, Kirk",2012,collingwood,R10
"Wellingham, Sharrod",2012,collingwood,R3
"Wellingham, Sharrod",2012,collingwood,R4
"Wellingham, Sharrod",2012,collingwood,R5
"Wellingham, Sharrod",2012,collingwood,R6
"Wellingham, Sharrod",2012,collingwood,R7
"Wellingham, Sharrod",2012,collingwood,R8
"Wellingham, Sharrod",2012,collingwood,R9
"Wellingham, Sharrod",2012,collingwood,R10
"Wellingham, Sharrod",2012,collingwood,R11
"Wellingham, Sharrod",2012,collingwood,R13
"Wellingham, Sharrod",2012,collingwood,R14
"Wellingham, Sharrod",2012,collingwood,R15
"Wellingham, Sharrod",2012,collingwood,R19
"Wellingham, Sharrod",2012,collingwood,R20
"Wellingham, Sharrod",2012,collingwood,R21
"Wellingham, Sharrod",2012,collingwood,R22
"Wellingham, Sharrod",2012,collingwood,R23
"Wellingham, Sharrod",2012,collingwood,QF
"Wellingham, Sharrod",2012,collingwood,SF
"Wellingham, Sharrod",2012,collingwood,PF
"Williams, Marley",2012,collingwood,R9
"Williams, Marley",2012,collingwood,R10
"Williams, Marley",2012,collingwood,R11
"Williams, Marley",2012,collingwood,R13
"Williams, Marley",2012,collingwood,R14
"Williams, Marley",2012,collingwood,R15
"Wood, Cameron",2012,collingwood,R3
"Wood, Cameron",2012,collingwood,R6
"Wood, Cameron",2012,collingwood,R7
"Wood, Cameron",2012,collingwood,R10
"Wood, Cameron",2012,collingwood,R18
"Wood, Cameron",2012,collingwood,R22
"Yagmoor, Peter",2012,collingwood,R1
"Yagmoor, Peter",2012,collingwood,R7
"Young, Tom",2012,collingwood,R4
"Young, Tom",2012,collingwood,R10
"Young, Tom",2012,collingwood,R11
"Young, Tom",2012,collingwood,R13
"Young, Tom",2012,collingwood,R17
"Young, Tom",2012,collingwood,R18
"Young, Tom",2012,collingwood,R19
"Ball, Luke",2013,collingwood,R8
"Ball, Luke",2013,collingwood,R9
"Ball, Luke",2013,collingwood,R10
"Ball, Luke",2013,collingwood,R11
"Ball, Luke",2013,collingwood,R14
"Ball, Luke",2013,collingwood,R15
"Ball, Luke",2013,collingwood,R16
"Ball, Luke",2013,collingwood,R17
"Ball, Luke",2013,collingwood,R19
"Ball, Luke",2013,collingwood,R20
"Ball, Luke",2013,collingwood,R21
"Ball, Luke",2013,collingwood,R22
"Ball, Luke",2013,collingwood,EF
"Beams, Dayne",2013,collingwood,R16
"Beams, Dayne",2013,collingwood,R17
"Beams, Dayne",2013,collingwood,R18
"Beams, Dayne",2013,collingwood,R19
"Beams, Dayne",2013,collingwood,R20
"Beams, Dayne",2013,collingwood,R21
"Beams, Dayne",2013,collingwood,R23
"Beams, Dayne",2013,collingwood,EF
"Blair, Jarryd",2013,collingwood,R1
"Blair, Jarryd",2013,collingwood,R2
"Blair, Jarryd",2013,collingwood,R3
"Blair, Jarryd",2013,collingwood,R4
"Blair, Jarryd",2013,collingwood,R5
"Blair, Jarryd",2013,collingwood,R6
"Blair, Jarryd",2013,collingwood,R7
"Blair, Jarryd",2013,collingwood,R8
"Blair, Jarryd",2013,collingwood,R9
"Blair, Jarryd",2013,collingwood,R10
"Blair, Jarryd",2013,collingwood,R11
"Blair, Jarryd",2013,collingwood,R12
"Blair, Jarryd",2013,collingwood,R14
"Blair, Jarryd",2013,collingwood,R15
"Blair, Jarryd",2013,collingwood,R16
"Blair, Jarryd",2013,collingwood,R18
"Blair, Jarryd",2013,collingwood,R19
"Blair, Jarryd",2013,collingwood,R20
"Blair, Jarryd",2013,collingwood,R21
"Blair, Jarryd",2013,collingwood,R22
"Blair, Jarryd",2013,collingwood,R23
"Blair, Jarryd",2013,collingwood,EF
"Brown, Nathan",2013,collingwood,R1
"Brown, Nathan",2013,collingwood,R2
"Brown, Nathan",2013,collingwood,R3
"Brown, Nathan",2013,collingwood,R4
"Brown, Nathan",2013,collingwood,R5
"Brown, Nathan",2013,collingwood,R6
"Brown, Nathan",2013,collingwood,R7
"Brown, Nathan",2013,collingwood,R8
"Brown, Nathan",2013,collingwood,R9
"Brown, Nathan",2013,collingwood,R10
"Brown, Nathan",2013,collingwood,R11
"Brown, Nathan",2013,collingwood,R12
"Brown, Nathan",2013,collingwood,R14
"Brown, Nathan",2013,collingwood,R15
"Brown, Nathan",2013,collingwood,R16
"Brown, Nathan",2013,collingwood,R18
"Brown, Nathan",2013,collingwood,R19
"Brown, Nathan",2013,collingwood,R20
"Brown, Nathan",2013,collingwood,R21
"Brown, Nathan",2013,collingwood,R22
"Brown, Nathan",2013,collingwood,R23
"Brown, Nathan",2013,collingwood,EF
"Clarke, Martin",2013,collingwood,R1
"Clarke, Martin",2013,collingwood,R2
"Clarke, Martin",2013,collingwood,R3
"Clarke, Martin",2013,collingwood,R4
"Clarke, Martin",2013,collingwood,R5
"Clarke, Martin",2013,collingwood,R6
"Clarke, Martin",2013,collingwood,R7
"Clarke, Martin",2013,collingwood,R9
"Clarke, Martin",2013,collingwood,R10
"Cloke, Travis",2013,collingwood,R1
"Cloke, Travis",2013,collingwood,R2
"Cloke, Travis",2013,collingwood,R3
"Cloke, Travis",2013,collingwood,R4
"Cloke, Travis",2013,collingwood,R5
"Cloke, Travis",2013,collingwood,R6
"Cloke, Travis",2013,collingwood,R7
"Cloke, Travis",2013,collingwood,R8
"Cloke, Travis",2013,collingwood,R9
"Cloke, Travis",2013,collingwood,R11
"Cloke, Travis",2013,collingwood,R12
"Cloke, Travis",2013,collingwood,R14
"Cloke, Travis",2013,collingwood,R15
"Cloke, Travis",2013,collingwood,R16
"Cloke, Travis",2013,collingwood,R17
"Cloke, Travis",2013,collingwood,R18
"Cloke, Travis",2013,collingwood,R19
"Cloke, Travis",2013,collingwood,R20
"Cloke, Travis",2013,collingwood,R21
"Cloke, Travis",2013,collingwood,R22
"Cloke, Travis",2013,collingwood,R23
"Cloke, Travis",2013,collingwood,EF
"Didak, Alan",2013,collingwood,R10
"Didak, Alan",2013,collingwood,R11
"Didak, Alan",2013,collingwood,R22
"Didak, Alan",2013,collingwood,R23
"Didak, Alan",2013,collingwood,EF
"Dwyer, Sam",2013,collingwood,R1
"Dwyer, Sam",2013,collingwood,R2
"Dwyer, Sam",2013,collingwood,R3
"Dwyer, Sam",2013,collingwood,R4
"Dwyer, Sam",2013,collingwood,R5
"Dwyer, Sam",2013,collingwood,R6
"Dwyer, Sam",2013,collingwood,R7
"Dwyer, Sam",2013,collingwood,R8
"Dwyer, Sam",2013,collingwood,R9
"Dwyer, Sam",2013,collingwood,R12
"Dwyer, Sam",2013,collingwood,R14
"Dwyer, Sam",2013,collingwood,R15
"Dwyer, Sam",2013,collingwood,R16
"Dwyer, Sam",2013,collingwood,R17
"Dwyer, Sam",2013,collingwood,R18
"Dwyer, Sam",2013,collingwood,R19
"Dwyer, Sam",2013,collingwood,R20
"Dwyer, Sam",2013,collingwood,R21
"Dwyer, Sam",2013,collingwood,R22
"Dwyer, Sam",2013,collingwood,R23
"Dwyer, Sam",2013,collingwood,EF
"Elliott, Jamie",2013,collingwood,R1
"Elliott, Jamie",2013,collingwood,R2
"Elliott, Jamie",2013,collingwood,R3
"Elliott, Jamie",2013,collingwood,R4
"Elliott, Jamie",2013,collingwood,R5
"Elliott, Jamie",2013,collingwood,R6
"Elliott, Jamie",2013,collingwood,R7
"Elliott, Jamie",2013,collingwood,R8
"Elliott, Jamie",2013,collingwood,R9
"Elliott, Jamie",2013,collingwood,R10
"Elliott, Jamie",2013,collingwood,R12
"Elliott, Jamie",2013,collingwood,R14
"Elliott, Jamie",2013,collingwood,R15
"Elliott, Jamie",2013,collingwood,R16
"Elliott, Jamie",2013,collingwood,R17
"Elliott, Jamie",2013,collingwood,R18
"Elliott, Jamie",2013,collingwood,R19
"Elliott, Jamie",2013,collingwood,R20
"Elliott, Jamie",2013,collingwood,R21
"Elliott, Jamie",2013,collingwood,EF
"Fasolo, Alex",2013,collingwood,R3
"Fasolo, Alex",2013,collingwood,R4
"Fasolo, Alex",2013,collingwood,R5
"Frost, Jack",2013,collingwood,R1
"Frost, Jack",2013,collingwood,R3
"Goldsack, Tyson",2013,collingwood,R1
"Goldsack, Tyson",2013,collingwood,R2
"Goldsack, Tyson",2013,collingwood,R3
"Goldsack, Tyson",2013,collingwood,R5
"Goldsack, Tyson",2013,collingwood,R6
"Goldsack, Tyson",2013,collingwood,R17
"Goldsack, Tyson",2013,collingwood,R18
"Goldsack, Tyson",2013,collingwood,R19
"Goldsack, Tyson",2013,collingwood,R20
"Goldsack, Tyson",2013,collingwood,R21
"Goldsack, Tyson",2013,collingwood,R22
"Goldsack, Tyson",2013,collingwood,R23
"Goldsack, Tyson",2013,collingwood,EF
"Grundy, Brodie",2013,collingwood,R18
"Grundy, Brodie",2013,collingwood,R19
"Grundy, Brodie",2013,collingwood,R20
"Grundy, Brodie",2013,collingwood,R21
"Grundy, Brodie",2013,collingwood,R22
"Grundy, Brodie",2013,collingwood,R23
"Grundy, Brodie",2013,collingwood,EF
"Hudson, Ben",2013,collingwood,R3
"Hudson, Ben",2013,collingwood,R4
"Hudson, Ben",2013,collingwood,R5
"Hudson, Ben",2013,collingwood,R14
"Hudson, Ben",2013,collingwood,R15
"Hudson, Ben",2013,collingwood,R16
"Hudson, Ben",2013,collingwood,R17
"Johnson, Ben",2013,collingwood,R1
"Johnson, Ben",2013,collingwood,R2
"Johnson, Ben",2013,collingwood,R3
"Jolly, Darren",2013,collingwood,R1
"Jolly, Darren",2013,collingwood,R2
"Jolly, Darren",2013,collingwood,R6
"Jolly, Darren",2013,collingwood,R7
"Jolly, Darren",2013,collingwood,R8
"Jolly, Darren",2013,collingwood,R9
"Jolly, Darren",2013,collingwood,R10
"Jolly, Darren",2013,collingwood,R11
"Jolly, Darren",2013,collingwood,R12
"Keeffe, Lachlan",2013,collingwood,R17
"Keeffe, Lachlan",2013,collingwood,R18
"Keeffe, Lachlan",2013,collingwood,R19
"Keeffe, Lachlan",2013,collingwood,R20
"Keeffe, Lachlan",2013,collingwood,R21
"Keeffe, Lachlan",2013,collingwood,R22
"Keeffe, Lachlan",2013,collingwood,R23
"Keeffe, Lachlan",2013,collingwood,EF
"Kennedy, Ben",2013,collingwood,R6
"Kennedy, Ben",2013,collingwood,R7
"Kennedy, Ben",2013,collingwood,R8
"Kennedy, Ben",2013,collingwood,R9
"Kennedy, Ben",2013,collingwood,R10
"Kennedy, Ben",2013,collingwood,R11
"Kennedy, Ben",2013,collingwood,R12
"Kennedy, Ben",2013,collingwood,R14
"Kennedy, Ben",2013,collingwood,R15
"Kennedy, Ben",2013,collingwood,R18
"Kennedy, Ben",2013,collingwood,R22
"Kennedy, Ben",2013,collingwood,R23
"Krakouer, Andrew",2013,collingwood,R6
"Krakouer, Andrew",2013,collingwood,R7
"Krakouer, Andrew",2013,collingwood,R8
"Krakouer, Andrew",2013,collingwood,R9
"Krakouer, Andrew",2013,collingwood,R10
"Krakouer, Andrew",2013,collingwood,R15
"Krakouer, Andrew",2013,collingwood,R16
"Krakouer, Andrew",2013,collingwood,R17
"Lumumba, Heritier",2013,collingwood,R1
"Lumumba, Heritier",2013,collingwood,R2
"Lumumba, Heritier",2013,collingwood,R3
"Lumumba, Heritier",2013,collingwood,R4
"Lumumba, Heritier",2013,collingwood,R5
"Lumumba, Heritier",2013,collingwood,R6
"Lumumba, Heritier",2013,collingwood,R7
"Lumumba, Heritier",2013,collingwood,R8
"Lumumba, Heritier",2013,collingwood,R9
"Lumumba, Heritier",2013,collingwood,R10
"Lumumba, Heritier",2013,collingwood,R11
"Lumumba, Heritier",2013,collingwood,R12
"Lumumba, Heritier",2013,collingwood,R14
"Lumumba, Heritier",2013,collingwood,R18
"Lumumba, Heritier",2013,collingwood,R19
"Lumumba, Heritier",2013,collingwood,R20
"Lumumba, Heritier",2013,collingwood,R21
"Lumumba, Heritier",2013,collingwood,R22
"Lumumba, Heritier",2013,collingwood,EF
"Lynch, Quinten",2013,collingwood,R1
"Lynch, Quinten",2013,collingwood,R2
"Lynch, Quinten",2013,collingwood,R3
"Lynch, Quinten",2013,collingwood,R4
"Lynch, Quinten",2013,collingwood,R5
"Lynch, Quinten",2013,collingwood,R6
"Lynch, Quinten",2013,collingwood,R7
"Lynch, Quinten",2013,collingwood,R8
"Lynch, Quinten",2013,collingwood,R9
"Lynch, Quinten",2013,collingwood,R10
"Lynch, Quinten",2013,collingwood,R11
"Lynch, Quinten",2013,collingwood,R12
"Lynch, Quinten",2013,collingwood,R14
"Lynch, Quinten",2013,collingwood,R19
"Lynch, Quinten",2013,collingwood,R20
"Lynch, Quinten",2013,collingwood,R21
"Lynch, Quinten",2013,collingwood,R22
"Lynch, Quinten",2013,collingwood,R23
"Macaffer, Brent",2013,collingwood,R1
"Macaffer, Brent",2013,collingwood,R2
"Macaffer, Brent",2013,collingwood,R4
"Macaffer, Brent",2013,collingwood,R5
"Macaffer, Brent",2013,collingwood,R6
"Macaffer, Brent",2013,collingwood,R7
"Macaffer, Brent",2013,collingwood,R8
"Macaffer, Brent",2013,collingwood,R9
"Macaffer, Brent",2013,collingwood,R10
"Macaffer, Brent",2013,collingwood,R11
"Macaffer, Brent",2013,collingwood,R12
"Macaffer, Brent",2013,collingwood,R14
"Macaffer, Brent",2013,collingwood,R15
"Macaffer, Brent",2013,collingwood,R16
"Macaffer, Brent",2013,collingwood,R17
"Macaffer, Brent",2013,collingwood,R18
"Macaffer, Brent",2013,collingwood,R19
"Macaffer, Brent",2013,collingwood,R20
"Macaffer, Brent",2013,collingwood,R21
"Macaffer, Brent",2013,collingwood,R22
"Macaffer, Brent",2013,collingwood,R23
"Macaffer, Brent",2013,collingwood,EF
"Martin, Kyle",2013,collingwood,R10
"Martin, Kyle",2013,collingwood,R11
"Martin, Kyle",2013,collingwood,R12
"Martin, Kyle",2013,collingwood,R14
"Maxwell, Nick",2013,collingwood,R1
"Maxwell, Nick",2013,collingwood,R2
"Maxwell, Nick",2013,collingwood,R7
"Maxwell, Nick",2013,collingwood,R8
"Maxwell, Nick",2013,collingwood,R9
"Maxwell, Nick",2013,collingwood,R10
"Maxwell, Nick",2013,collingwood,R11
"Maxwell, Nick",2013,collingwood,R12
"Maxwell, Nick",2013,collingwood,R14
"Maxwell, Nick",2013,collingwood,R15
"Maxwell, Nick",2013,collingwood,R16
"Maxwell, Nick",2013,collingwood,R17
"Maxwell, Nick",2013,collingwood,R18
"Maxwell, Nick",2013,collingwood,R19
"Maxwell, Nick",2013,collingwood,R20
"Maxwell, Nick",2013,collingwood,R21
"Maxwell, Nick",2013,collingwood,R22
"Maxwell, Nick",2013,collingwood,R23
"Maxwell, Nick",2013,collingwood,EF
"Mooney, Caolan",2013,collingwood,R7
"Mooney, Caolan",2013,collingwood,R17
"Oxley, Adam",2013,collingwood,R11
"Oxley, Adam",2013,collingwood,R12
"Pendlebury, Scott",2013,collingwood,R1
"Pendlebury, Scott",2013,collingwood,R2
"Pendlebury, Scott",2013,collingwood,R3
"Pendlebury, Scott",2013,collingwood,R4
"Pendlebury, Scott",2013,collingwood,R5
"Pendlebury, Scott",2013,collingwood,R6
"Pendlebury, Scott",2013,collingwood,R7
"Pendlebury, Scott",2013,collingwood,R8
"Pendlebury, Scott",2013,collingwood,R9
"Pendlebury, Scott",2013,collingwood,R10
"Pendlebury, Scott",2013,collingwood,R11
"Pendlebury, Scott",2013,collingwood,R12
"Pendlebury, Scott",2013,collingwood,R14
"Pendlebury, Scott",2013,collingwood,R15
"Pendlebury, Scott",2013,collingwood,R16
"Pendlebury, Scott",2013,collingwood,R17
"Pendlebury, Scott",2013,collingwood,R18
"Pendlebury, Scott",2013,collingwood,R19
"Pendlebury, Scott",2013,collingwood,R20
"Pendlebury, Scott",2013,collingwood,R21
"Pendlebury, Scott",2013,collingwood,R22
"Pendlebury, Scott",2013,collingwood,R23
