player,year,team,round
"Jenkins, Josh",2012,adelaide,R16
"Jenkins, Josh",2012,adelaide,R17
"Jenkins, Josh",2012,adelaide,R18
"Jenkins, Josh",2012,adelaide,R19
"Jenkins, Josh",2012,adelaide,R20
"Jenkins, Josh",2012,adelaide,R21
"Johncock, Graham",2012,adelaide,R1
"Johncock, Graham",2012,adelaide,R2
"Johncock, Graham",2012,adelaide,R3
"Johncock, Graham",2012,adelaide,R5
"Johncock, Graham",2012,adelaide,R6
"Johncock, Graham",2012,adelaide,R7
"Johncock, Graham",2012,adelaide,R8
"Johncock, Graham",2012,adelaide,R9
"Johncock, Graham",2012,adelaide,R10
"Johncock, Graham",2012,adelaide,R17
"Johncock, Graham",2012,adelaide,R18
"Johncock, Graham",2012,adelaide,R19
"Johncock, Graham",2012,adelaide,R20
"Johncock, Graham",2012,adelaide,R21
"Johncock, Graham",2012,adelaide,R22
"Johncock, Graham",2012,adelaide,R23
"Johncock, Graham",2012,adelaide,QF
"Johncock, Graham",2012,adelaide,SF
"Johncock, Graham",2012,adelaide,PF
"Johnston, Lewis",2012,adelaide,R20
"Kerridge, Sam",2012,adelaide,R3
"Knights, Chris",2012,adelaide,R12
"Knights, Chris",2012,adelaide,R14
"Knights, Chris",2012,adelaide,R15
"Knights, Chris",2012,adelaide,R16
"Knights, Chris",2012,adelaide,R21
"Lynch, Tom",2012,adelaide,R1
"Lynch, Tom",2012,adelaide,R2
"Lynch, Tom",2012,adelaide,R3
"Lynch, Tom",2012,adelaide,R8
"Lynch, Tom",2012,adelaide,R16
"Lynch, Tom",2012,adelaide,R23
"Lyons, Jarryd",2012,adelaide,R5
"Lyons, Jarryd",2012,adelaide,R6
"Lyons, Jarryd",2012,adelaide,R7
"Mackay, David",2012,adelaide,R1
"Mackay, David",2012,adelaide,R2
"Mackay, David",2012,adelaide,R3
"Mackay, David",2012,adelaide,R4
"Mackay, David",2012,adelaide,R5
"Mackay, David",2012,adelaide,R6
"Mackay, David",2012,adelaide,R7
"Mackay, David",2012,adelaide,R8
"Mackay, David",2012,adelaide,R9
"Mackay, David",2012,adelaide,R12
"Mackay, David",2012,adelaide,R13
"Mackay, David",2012,adelaide,R14
"Mackay, David",2012,adelaide,R15
"Mackay, David",2012,adelaide,R16
"Mackay, David",2012,adelaide,R17
"Mackay, David",2012,adelaide,R18
"Mackay, David",2012,adelaide,R20
"Mackay, David",2012,adelaide,R21
"Mackay, David",2012,adelaide,R22
"Mackay, David",2012,adelaide,R23
"Mackay, David",2012,adelaide,QF
"Mackay, David",2012,adelaide,SF
"Mackay, David",2012,adelaide,PF
"Martin, Brodie",2012,adelaide,R3
"Martin, Brodie",2012,adelaide,R4
"Martin, Brodie",2012,adelaide,R12
"Martin, Brodie",2012,adelaide,R13
"Martin, Brodie",2012,adelaide,R14
"Martin, Brodie",2012,adelaide,R15
"Martin, Brodie",2012,adelaide,R16
"McIntyre, Tim",2012,adelaide,R15
"McKernan, Shaun",2012,adelaide,R4
"McKernan, Shaun",2012,adelaide,R5
"McKernan, Shaun",2012,adelaide,R6
"McKernan, Shaun",2012,adelaide,R13
"McKernan, Shaun",2012,adelaide,R15
"McKernan, Shaun",2012,adelaide,R18
"Otten, Andy",2012,adelaide,R1
"Otten, Andy",2012,adelaide,R2
"Otten, Andy",2012,adelaide,R3
"Otten, Andy",2012,adelaide,R5
"Otten, Andy",2012,adelaide,R17
"Otten, Andy",2012,adelaide,PF
"Petrenko, Jared",2012,adelaide,R1
"Petrenko, Jared",2012,adelaide,R2
"Petrenko, Jared",2012,adelaide,R3
