DI_Avg,KI_Avg,MK_Avg,HB_Avg,GL_Avg,BH_Avg,HO_Avg,TK_Avg,RB_Avg,I5_Avg,CL_Avg,target
 -26.01553, -24.05298, -16.32145,  -1.96256,  -6.67950,  -2.74675,  -3.19524,   1.86809,   5.21646,  -8.77495,  -1.40209,   0.00000
 -18.66541, -15.61538, -10.96116,  -3.05003,  -2.57458,  -1.22321,  -0.50891,  -6.97634,   6.83289, -11.80748,   0.75490,   0.00000
 -11.83837,  -2.43018,  13.76243,  -9.40820,   2.18114,   4.32510,  27.98941,  -5.18774, -11.88693,  -1.25350,   3.40651,   0.00000
  23.05903,   7.79488,  -0.24608,  15.26415,  -3.21030,  -0.22378,  -9.66487,   7.85274,   0.93804,   3.22508,   0.46961,   0.00000
  -9.06915,   7.31200,   9.10121, -16.38115,   3.65880,   3.18009,  22.96564,  -2.22410,  -4.34718,   0.92721,  -3.97789,   1.00000
  17.07485, -10.57121,  -2.62461,  27.64606,  -2.84819,   0.19719,  12.44564,   0.89307,  -5.98917,   0.67135,   6.39237,   0.00000
  25.13733,  25.37586,   4.07192,  -0.23854,   0.15566,   2.56396,  -1.20100,   5.15197,   0.14487,  14.63334,   6.26065,   1.00000
  19.88533,  12.81835,  11.19221,   7.06698,   4.08078,   1.11465, -14.36311,  -0.52770,  -6.19578,   6.09491,  -6.20276,   1.00000
 -32.65468, -37.73052, -14.79767,   5.07584,  -3.83549,  -1.31979,  -0.68632, -20.36318,   1.56328, -10.20813,  -3.88845,   0.00000
  37.51642,   3.43292, -14.46140,  34.08350,  -1.29395,  -2.08221, -25.39390,  16.00114,   8.06008,   6.61585,   4.77606,   0.00000
 -10.71218,   2.18128,   9.95646, -12.89346,  -1.14147,  -2.81929, -17.56185,  -2.34152,   3.10667,  -3.31273,  -6.29929,   0.00000
 -25.57417,  10.49977,  12.66500, -36.07394,   4.37455,   4.02233,   3.58411,   5.20305,  -9.98414,   9.10207, -11.54456,   1.00000
 -65.63233, -39.81761, -18.76595, -25.81471,  -5.04097,  -5.07317,  -7.06221,  -8.64360,   2.34476, -14.02248,  -3.27773,   0.00000
  -8.37901,   6.95735,   6.68367, -15.33635,  -3.80147,  -0.89576,   3.15499,  -0.02786,  -1.87050,  -3.17017,  -0.74313,   1.00000
 -65.31997, -35.79366, -12.99861, -29.52631,  -6.44169,  -4.79441,   3.06934,  -1.21301,   2.97872, -17.75995,  -5.63571,   0.00000
 -14.14357,   0.61440,   0.01941, -14.75797,   2.16580,   0.67767,  16.25976, -11.52462,  -0.44963,  -5.41986,  -0.54423,   1.00000
  18.51699,   9.65124,   4.34307,   8.86575,   0.09139,  -0.41115,   6.46364,   3.14553,   1.20358,   0.26406,   2.60381,   1.00000
  35.29830,  22.23073,  26.72826,  13.06757,   0.29607,   3.29959,   0.07248,  -8.74935,  -7.51346,   4.87160,   0.61810,   1.00000
 -26.52676, -23.52190,  -0.93104,  -3.00485,   1.10022,   0.02777,   5.13789,   2.49130,  -2.65248,  -5.29607,  -4.27254,   0.00000
  11.16788,  13.45323,  -3.43136,  -2.28535,  -0.10896,   2.53339,  20.96344,  11.10548,   5.41843,   7.48171,   5.60927,   1.00000
 -19.29133,  -9.16812,  -4.13734, -10.12322,   5.01865,  -0.73314,  14.88425,  -6.89413,  -1.82095,   6.83439,  -0.68242,   0.00000
  29.30193,  29.07250,  17.84530,   0.22943,   2.30563,   1.06860,  11.63112,  11.91785,   1.89428,   1.55421,  -1.79133,   1.00000
  -0.16560,   3.46838,   3.35635,  -3.63398,   3.41176,   1.82094, -19.77255,  -3.60100,  -1.40411,   4.01466,   1.39126,   1.00000
  34.86107,  26.71343,   3.22599,   8.14764,  -1.07091,   0.56190,  -9.76181,  -8.87295,   9.78334,  -2.19942,   4.12367,   1.00000
   3.11044,   5.50658,   1.68678,  -2.39614,  -1.09472,  -1.42344,  -5.71553,   1.64098,   5.12731,  -4.53723,  -1.31648,   1.00000
  36.48130,  21.38174,   0.21052,  15.09956,   4.74805,   5.36679, -11.22336,   1.18699,  -0.76515,  13.68295,   6.08601,   1.00000
  40.48114,  11.75358,  -7.65263,  28.72757,   2.82850,  -0.72319, -16.50917,   6.76577,   4.38524,   9.27026,   2.96562,   1.00000
  32.63205,  23.49450,   3.36186,   9.13755,   2.84531,   3.34842,  12.64494,   9.16729,  -2.74839,  11.57741,   7.39344,   1.00000
 -39.19230,  -8.52821,  -5.67046, -30.66409,  -0.17943,   0.62319,  15.58159,   0.30326,   3.22853,  -1.61700,  -0.68998,   1.00000
  10.82920,  16.95231,   5.90929,  -6.12311,   5.23509,   3.14198, -11.78839,  12.83867,  -1.57791,  10.16252,  -0.51146,   1.00000
   8.26490,  -4.48568,  -0.26733,  12.75058,  -1.65555,   0.46270,  -2.08571,  10.23911,  -2.65609,   0.83775,  -2.36445,   0.00000
