DI_Avg,KI_Avg,MK_Avg,HB_Avg,GL_Avg,BH_Avg,HO_Avg,TK_Avg,RB_Avg,I5_Avg,CL_Avg,target
  17.08479,  12.87040,  -7.91099,   4.21440,  -2.10740,   0.04366, -13.42500,  14.36461,   4.18027,   0.02630,  14.79505,   0.00000
  74.11810,  34.72763,  20.96451,  39.39047,  -1.68014,  -0.59914,  12.64915,   9.77020,  13.46245,   2.21306,   0.58962,   0.00000
 107.28550,  66.45584,  29.45562,  40.82966,   3.43549,   0.37164,  24.77909,  23.79102,  16.37659,   8.10978,  16.91422,   0.00000
  64.24565,  30.26967,   2.08405,  33.97597,   0.21831,   0.62544,  40.48012,   4.72969,   6.30749,   4.40546,  14.65573,   0.00000
   2.62764,   4.43741,   4.17899,  -1.80977,   2.00855,   0.75819, -33.85301,   4.14426,  -2.07709,  -3.15956,  -8.19223,   0.00000
  22.59040,  18.36089,   6.80232,   4.22951,  -1.26707,  -0.73527,   5.70819,   8.94623,  14.86762,  -1.74460,  12.26578,   0.00000
